week,mode,ext_demand,retailer_inventory,wholesaler_inventory,distributor_inventory,factory_inventory,retailer_backlog,wholesaler_backlog,distributor_backlog,factory_backlog,retailer_order,wholesaler_order,distributor_order,factory_order,total_inventory,total_backlog,pattern
1,blackbox,20,0,10,10,10,0,0,0,0,18,11,11,11,30,0,flat
2,blackbox,20,0,0,0,0,20,8,1,1,20,18,12,12,0,30,flat
3,blackbox,20,0,0,0,0,29,17,8,13,26,19,19,19,0,67,flat
4,blackbox,20,0,0,0,0,31,31,15,32,28,26,20,20,0,109,flat
5,blackbox,20,0,0,0,0,32,40,22,52,34,29,27,27,0,146,flat
6,blackbox,20,0,0,0,0,26,54,31,79,23,36,30,30,0,190,flat
7,blackbox,20,0,0,0,0,17,50,40,109,29,39,37,37,0,216,flat
8,blackbox,20,0,0,0,0,1,49,49,146,20,44,41,40,0,245,flat
9,blackbox,20,18,0,0,0,0,32,56,187,24,34,47,47,18,275,flat
10,blackbox,20,42,0,0,0,0,15,50,234,15,39,51,50,42,299,flat
11,blackbox,20,56,17,0,0,0,0,42,285,19,27,55,57,73,327,flat
12,blackbox,20,75,49,0,0,0,0,19,340,10,34,46,60,124,359,flat
13,blackbox,20,82,94,4,0,0,0,0,386,14,20,50,65,180,386,flat
14,blackbox,20,96,126,44,0,0,0,0,436,5,27,39,68,266,436,flat
15,blackbox,20,96,171,82,0,0,0,0,475,9,13,45,73,349,475,flat
16,blackbox,20,103,201,137,0,0,0,0,520,0,20,32,76,441,520,flat
17,blackbox,20,96,246,190,0,0,0,0,552,4,6,38,81,532,552,flat
18,blackbox,20,96,274,260,0,0,0,0,590,0,13,25,84,630,590,flat
19,blackbox,20,82,312,328,0,0,0,0,615,0,0,31,89,722,615,flat
20,blackbox,20,75,337,412,0,0,0,0,646,0,6,18,92,824,646,flat
21,blackbox,20,55,368,495,0,0,0,0,664,6,0,24,97,918,664,flat
22,blackbox,20,41,380,587,0,0,0,0,688,8,0,11,100,1008,688,flat
23,blackbox,20,21,396,684,0,0,0,0,699,14,0,17,105,1101,699,flat
24,blackbox,20,1,393,784,0,0,0,0,716,16,0,4,108,1178,716,flat
25,blackbox,20,0,394,889,0,19,0,0,720,22,0,10,113,1283,739,flat
26,blackbox,20,0,376,997,0,39,0,0,730,24,0,0,116,1373,769,flat
27,blackbox,20,0,362,1110,0,59,0,0,730,30,0,5,121,1472,789,flat
28,blackbox,20,0,332,1226,0,79,0,0,735,32,0,0,124,1558,814,flat
29,blackbox,20,0,305,1347,0,99,0,0,735,38,0,0,129,1652,834,flat
30,blackbox,20,0,267,1471,0,119,0,0,735,40,0,0,132,1738,854,flat
31,blackbox,20,0,227,1600,0,139,0,0,735,46,0,0,137,1827,874,flat
32,blackbox,20,0,181,1732,0,159,0,0,735,48,0,0,140,1913,894,flat
33,blackbox,20,0,133,1869,0,179,0,0,735,54,8,0,145,2002,914,flat
34,blackbox,20,0,79,2001,0,199,0,0,735,56,10,0,148,2080,934,flat
35,blackbox,20,0,23,2136,0,211,0,0,735,62,18,0,153,2159,946,flat
36,blackbox,20,0,0,2266,0,221,39,0,735,64,65,0,156,2266,995,flat
1,glassbox,20,0,10,10,10,0,0,0,0,18,18,11,11,30,0,flat
2,glassbox,20,0,0,0,0,20,8,8,1,20,20,18,18,0,37,flat
3,glassbox,20,0,0,0,0,22,17,17,19,26,26,19,19,0,75,flat
4,glassbox,20,0,0,0,0,22,25,25,38,28,28,26,26,0,110,flat
5,glassbox,20,0,0,0,0,16,34,34,64,21,34,29,29,0,148,flat
6,glassbox,20,0,0,0,0,8,29,42,93,23,28,36,36,0,172,flat
7,glassbox,20,6,0,0,0,0,23,41,129,16,29,37,39,6,193,flat
8,glassbox,20,14,0,0,0,0,3,34,166,18,23,31,44,14,203,flat
9,glassbox,20,23,16,0,0,0,0,18,197,11,24,32,47,39,215,flat
10,glassbox,20,26,36,2,0,0,0,0,229,13,18,24,52,64,229,flat
11,glassbox,20,30,55,31,0,0,0,0,253,6,19,25,55,116,253,flat
12,glassbox,20,28,73,64,0,0,0,0,278,8,13,17,60,165,278,flat
13,glassbox,20,27,90,106,0,0,0,0,295,6,14,18,63,223,295,flat
14,glassbox,20,20,101,152,0,0,0,0,313,12,8,10,68,273,313,flat
15,glassbox,20,14,107,207,0,0,0,0,323,14,9,13,71,328,323,flat
